"id_requisicao","num_movimentacoes","num_anexos","valor_estimado","dias_em_processamento","passou_distribuidora","id_tipo_irregularidade","id_subtipo_irregularidade","tem_descricao","tem_link_fatura","tem_periodos","avancou"
16226,50,0,433000.00,1012,0,4,10,1,1,1,1
16227,15,0,308000.00,1012,0,0,0,0,1,1,0
16231,49,0,9500.00,1012,0,7,25,1,1,1,1
16232,18,0,7000.00,1012,0,4,10,1,1,1,0
16234,16,0,5000.00,1012,0,4,10,1,1,1,0
16235,13,0,2500.00,1012,0,7,25,1,1,1,0
16236,14,0,2000.00,1012,0,5,22,1,1,1,0
16245,10,0,200.00,1012,0,7,25,1,1,1,0
16256,47,0,215604.00,1005,0,5,22,1,1,1,1
16257,47,0,560000.00,1004,0,5,9,1,1,1,1
16259,6,0,62892.52,1004,0,7,11,1,1,1,1
16261,78,0,2390653.00,1004,0,7,25,1,1,1,1
16264,75,0,17000.00,1004,0,7,25,1,1,1,1
16265,13,0,9000.00,1004,0,7,25,1,1,1,1
16267,71,0,82682.00,1004,0,3,1,1,1,1,1
16268,39,0,7000.00,1004,0,5,16,1,1,1,1
16272,39,0,204084.00,1004,0,7,25,1,1,1,1
16274,52,0,2000.00,1004,0,7,29,1,1,1,1
16275,44,0,2000.00,1004,0,7,29,1,1,1,1
16276,38,0,2000.00,1004,0,7,29,1,1,1,1
16277,28,0,2000.00,1004,0,7,29,1,1,1,1
16278,41,0,2000.00,1004,0,7,29,1,1,1,1
16279,57,0,2000.00,1004,0,7,29,1,1,1,1
16281,49,0,91624.00,1004,0,3,5,1,1,1,1
16282,56,0,55747.00,1004,0,7,25,1,1,1,1
16284,67,0,150.00,1004,0,7,25,1,1,1,1
16285,58,0,100.00,1004,0,7,25,1,1,1,1
16287,60,0,2.00,1004,0,1,36,1,1,1,1
16302,85,0,5000.00,1001,0,7,11,1,1,1,1
16303,70,0,5000.00,1001,0,2,4,1,1,1,1
16304,146,0,2000.00,1001,0,2,4,1,1,1,1
16305,84,0,3000.00,1000,0,7,11,1,1,1,1
16313,34,4,3500.00,999,0,5,22,1,1,1,1
16314,66,0,3000.00,999,0,2,4,1,1,1,1
16316,47,0,30000.00,998,0,2,4,1,1,1,1
16317,79,0,25000.00,998,0,2,4,1,1,1,1
16318,62,0,15000.00,998,0,2,4,1,1,1,1
16319,53,0,10000.00,998,0,3,5,1,1,1,1
16321,36,1,14000.00,995,0,2,4,1,1,1,1
16322,31,0,12000.00,995,0,7,11,1,1,1,1
