id_processo,data_criacao,dias_para_deferimento,status_analise,estado,concessionaria,valor_estimado,num_movimentacoes,num_anexos,passou_analise,tipo_irregularidade
18325,2026-02-23 18:11:01,30,Desconhecido,3011766042,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,15604.0,6,0,1,PLEITO GERAL
18324,2026-02-19 14:25:30,30,Desconhecido,W9006292299,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,45000.0,4,0,1,SCEE
18323,2026-02-19 14:24:49,30,Desconhecido,W9014024085,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,30000.0,7,0,1,SCEE
18322,2026-02-19 14:23:57,30,Desconhecido,W0016759301,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,8000.0,6,0,1,SCEE
18321,2026-02-19 14:23:26,30,Desconhecido,W0012731810,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,10000.0,3,0,1,SCEE
18320,2026-02-19 14:22:31,30,Desconhecido,00002934464,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,2500.0,5,0,1,SCEE
18319,2026-02-19 14:21:49,30,Desconhecido,00002864179,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,15000.0,10,0,1,SCEE
18318,2026-02-19 14:21:13,30,Desconhecido,00002810910,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,20000.0,6,0,1,SCEE
18317,2026-02-19 14:20:32,30,Desconhecido,00002777536,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,12000.0,7,0,0,SCEE
18316,2026-02-19 14:19:44,30,Desconhecido,00002755190,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,15000.0,5,0,1,SCEE
18315,2026-02-19 14:18:54,30,Desconhecido,00002700220,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,2000.0,5,0,1,SCEE
18314,2026-02-19 14:18:12,30,Desconhecido,00002368471,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,10000.0,7,1,0,SCEE
18313,2026-02-19 14:12:38,30,Desconhecido,00001671455,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,2000.0,7,1,0,SCEE
18312,2026-02-19 14:10:17,30,Desconhecido,00001333857,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,25000.0,6,1,0,SCEE
18311,2026-02-19 13:51:10,30,Desconhecido,00001007707,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,28000.0,7,1,0,SCEE
18310,2026-02-19 13:49:07,30,Desconhecido,00000510014,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,7000.0,7,1,0,SCEE
18308,2026-02-08 19:59:06,30,Desconhecido,94122288,EDP - ENERGIAS DO BRASIL S.A.,10000.0,11,2,0,COMPENSAÇÃO
18307,2026-02-08 19:05:27,30,Desconhecido,00001681834,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,20000.0,6,1,0,CONSUMO
18306,2026-02-08 17:51:21,30,Desconhecido,D7081569441,ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S.A,15000.0,8,2,0,COMPENSAÇÃO
18305,2026-02-07 21:16:45,30,Desconhecido,63024365,ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.,10000.0,5,0,1,COMPENSAÇÃO
18304,2026-02-07 21:04:38,30,Desconhecido,63022095,ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.,20000.0,11,1,1,COMPENSAÇÃO
18303,2026-02-07 20:19:18,30,Desconhecido,W0012731810,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,20000.0,7,0,0,LEITURA
18302,2026-02-07 20:14:20,30,Desconhecido,2167569,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,25000.0,11,3,0,FATURAMENTO
18301,2026-02-07 19:44:13,30,Desconhecido,00001333857,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,30000.0,3,0,1,FATURAMENTO
18300,2026-02-03 12:54:57,30,Desconhecido,43524569,EQUATORIAL MARANHAO DISTRIBUIDORA DE ENERGIA S.A,1306184.83,10,0,1,CONSUMO
18297,2026-01-21 21:12:31,30,Desconhecido,88908477,ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.,200000.0,12,4,0,FATURAMENTO
18291,2026-01-07 14:38:36,30,Desconhecido,1120052273,Equatorial Goias,600.0,7,1,0,DÚVIDA
18290,2026-01-05 16:49:07,30,Desconhecido,529222-0,COMPANHIA ENERGETICA DE BRASILIA,5000.0,7,0,0,IMPOSTOENCARGO
18286,2025-12-23 20:59:23,30,Desconhecido,170093931,Equatorial GO,15000.0,12,0,1,FATURAMENTO
18285,2025-12-19 13:28:25,30,Desconhecido,4003889646,CPFL JAGUARI,0.0,8,0,1,DÚVIDA
18284,2025-12-18 18:08:22,30,Desconhecido,3690007316,Equatorial Goias,50000.0,11,0,1,FATURAMENTO
18283,2025-12-17 14:54:50,47,Desconhecido,9005567,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA COELBA,40000.0,11,1,1,DÚVIDA
18278,2025-12-11 12:52:46,30,Desconhecido,828264299,ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.,35000.0,5,1,0,FATURAMENTO
18277,2025-12-02 12:52:46,30,Desconhecido,W0006781385,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,25000.0,8,1,0,COMPENSAÇÃO
