"id_processo","num_movimentacoes_etapa","dias_em_processamento","sla_dias_target","tempo_medio_geral","prioridade","dias_totais"
18325,6,30,15,47.0000,Ativos,30
18324,4,30,15,47.0000,Ativos,30
18323,7,30,20,47.0000,Ativos,30
18322,6,30,20,47.0000,Ativos,30
18321,3,30,10,47.0000,Ativos,30
18320,5,30,20,47.0000,Ativos,30
18319,10,30,15,47.0000,Ativos,30
18318,6,30,20,47.0000,Ativos,30
18317,7,30,20,47.0000,Ativos,30
18316,5,30,20,47.0000,Ativos,30
18315,5,30,20,47.0000,Ativos,30
18314,7,30,20,47.0000,Ativos,30
18313,7,30,20,47.0000,Ativos,30
18312,6,30,20,47.0000,Ativos,30
18311,7,30,20,47.0000,Ativos,30
18310,7,30,20,47.0000,Ativos,30
18308,11,30,10,47.0000,Ativos,30
18307,6,30,20,47.0000,Ativos,30
18306,8,30,20,47.0000,Ativos,30
18305,5,30,10,47.0000,Ativos,30
18304,11,30,10,47.0000,Ativos,30
18303,7,30,10,47.0000,Ativos,30
18302,11,30,15,47.0000,Ativos,30
18301,3,30,10,47.0000,Ativos,30
18300,10,30,20,47.0000,Ativos,30
18297,12,30,20,47.0000,Ativos,30
18291,7,30,10,47.0000,Deferidos,30
18290,7,30,10,47.0000,Ativos,30
18286,12,30,10,47.0000,Ativos,30
18285,8,30,10,47.0000,Ativos,30
18284,11,30,10,47.0000,Ativos,30
18283,11,47,10,47.0000,Deferidos,47
18278,5,30,15,47.0000,Ativos,30
18277,8,30,15,47.0000,Ativos,30
18276,14,35,15,47.0000,Deferidos,35
18265,5,30,20,47.0000,Ativos,30
18258,10,30,15,47.0000,Ativos,30
18255,16,-16,30,47.0000,Fluxo de Ressarcimento,-16
18254,9,30,20,47.0000,Ativos,30
18253,17,32,30,47.0000,Fluxo de Ressarcimento,32
18252,17,102,20,47.0000,Deferidos,102
18251,9,30,15,47.0000,Ativos,30
18245,11,30,30,47.0000,Ativos,30
18246,5,30,10,47.0000,Ativos,30
18247,7,30,15,47.0000,Suspensos,30
18248,15,9,30,47.0000,Fluxo de Ressarcimento,9
18244,18,6,30,47.0000,Fluxo de Ressarcimento,6
18243,9,30,10,47.0000,Ativos,30
18242,6,30,10,47.0000,Ativos,30
18241,10,30,10,47.0000,Ativos,30
18240,8,30,10,47.0000,Suspensos,30
16324,8,30,15,47.0000,Ativos,30
18235,6,30,15,47.0000,Ativos,30
18236,14,30,10,47.0000,Ativos,30
18237,10,30,15,47.0000,Ativos,30
18238,8,30,30,47.0000,Ativos,30
18234,40,-191,30,47.0000,Deferidos,-191
18233,14,30,20,47.0000,Ativos,30
