"id_processo","data_criacao","valor_estimado","num_movimentacoes","num_anexos","dias_para_deferimento","cliente","tipo_credito"
18325,"2026-02-23 18:11:01",15604.00,6,0,30,CLARO,Desconhecido
18324,"2026-02-19 14:25:30",45000.00,4,0,30,GGF AGRO LTDA,Desconhecido
18323,"2026-02-19 14:24:49",30000.00,7,0,30,GGF AGRO LTDA,Desconhecido
18322,"2026-02-19 14:23:57",8000.00,6,0,30,GGF AGRO LTDA,Desconhecido
18321,"2026-02-19 14:23:26",10000.00,3,0,30,GGF AGRO LTDA,Desconhecido
18320,"2026-02-19 14:22:31",2500.00,5,0,30,GGF AGRO LTDA,Desconhecido
18319,"2026-02-19 14:21:49",15000.00,10,0,30,GGF AGRO LTDA,Desconhecido
18318,"2026-02-19 14:21:13",20000.00,6,0,30,GGF AGRO LTDA,Desconhecido
18317,"2026-02-19 14:20:32",12000.00,7,0,30,GGF AGRO LTDA,Desconhecido
18316,"2026-02-19 14:19:44",15000.00,5,0,30,GGF AGRO LTDA,Desconhecido
18315,"2026-02-19 14:18:54",2000.00,5,0,30,GGF AGRO LTDA,Desconhecido
18314,"2026-02-19 14:18:12",10000.00,7,1,30,GGF AGRO LTDA,Desconhecido
18313,"2026-02-19 14:12:38",2000.00,7,1,30,GGF AGRO LTDA,Desconhecido
18312,"2026-02-19 14:10:17",25000.00,6,1,30,GGF AGRO LTDA,Desconhecido
18311,"2026-02-19 13:51:10",28000.00,7,1,30,GGF AGRO LTDA,Desconhecido
18310,"2026-02-19 13:49:07",7000.00,7,1,30,GGF AGRO LTDA,Desconhecido
18308,"2026-02-08 19:59:06",10000.00,11,2,30,LEGIAO DA BOA VONTADE,Desconhecido
18307,"2026-02-08 19:05:27",20000.00,6,1,30,GGF AGRO LTDA,Desconhecido
18306,"2026-02-08 17:51:21",15000.00,8,2,30,VIA S.A.,Desconhecido
18305,"2026-02-07 21:16:45",10000.00,5,0,30,HOSPITAL ISRAELITA ALBERT EINSTEIN,Desconhecido
18304,"2026-02-07 21:04:38",20000.00,11,1,30,HOSPITAL ISRAELITA ALBERT EINSTEIN,Desconhecido
18303,"2026-02-07 20:19:18",20000.00,7,0,30,GGF AGRO LTDA,Desconhecido
18302,"2026-02-07 20:14:20",25000.00,11,3,30,GGF AGRO LTDA,Desconhecido
18301,"2026-02-07 19:44:13",30000.00,3,0,30,GGF AGRO LTDA,Desconhecido
18300,"2026-02-03 12:54:57",1306184.83,10,0,30,CLARO,Desconhecido
18297,"2026-01-21 21:12:31",200000.00,12,4,30,BP BUNGE,Desconhecido
18291,"2026-01-07 14:38:36",600.00,7,1,30,ASSOCIACAO DE COMPARTILHAMENTO DE ENERGIA RENOVAVEL - ACER,Desconhecido
18290,"2026-01-05 16:49:07",5000.00,7,0,30,LEGIAO DA BOA VONTADE,Desconhecido
18286,"2025-12-23 20:59:23",15000.00,12,0,30,ASSOCIACAO DE COMPARTILHAMENTO DE ENERGIA RENOVAVEL - ACER,Desconhecido
18285,"2025-12-19 13:28:25",0.00,8,0,30,JPNR NEGOCIOS CORPORATIVOS LTDA,Desconhecido
18284,"2025-12-18 18:08:22",50000.00,11,0,30,ASSOCIACAO DE COMPARTILHAMENTO DE ENERGIA RENOVAVEL - ACER,Desconhecido
18283,"2025-12-17 14:54:50",40000.00,11,1,47,VIA S.A.,Desconhecido
18278,"2025-12-11 12:52:46",35000.00,5,1,30,BP BUNGE,Desconhecido
18277,"2025-12-02 12:52:46",25000.00,8,1,30,GGF AGRO LTDA,Desconhecido
18276,"2025-11-25 20:55:32",30000.00,14,4,35,ABRAO REZE COMERCIO DE VEICULOS LTDA,Desconhecido
18265,"2025-11-24 20:11:13",5000.00,5,1,30,VIA S.A.,Desconhecido
18258,"2025-11-13 18:04:37",42000.00,10,4,30,BP BUNGE,Desconhecido
18255,"2025-11-07 12:49:56",80000.00,16,1,-16,BP BUNGE,Simples
18254,"2025-11-06 17:21:44",42000.00,9,2,30,BP BUNGE,Desconhecido
18253,"2025-11-06 17:16:04",42000.00,17,2,32,BP BUNGE,Simples
18252,"2025-11-06 13:32:46",40000.00,17,1,102,EVEN CONSTRUTORA,Desconhecido
18251,"2025-11-06 12:12:32",45000.00,9,1,30,EVEN CONSTRUTORA,Desconhecido
18245,"2025-10-13 00:00:00",30000.00,11,0,30,PEDRO AFONSO ACUCAR E BIOENERGIA S.A.,Desconhecido
18246,"2025-10-13 00:00:00",80000.00,5,0,30,PEDRO AFONSO ACUCAR E BIOENERGIA S.A.,Desconhecido
18247,"2025-10-13 00:00:00",300000.00,7,0,30,PEDRO AFONSO ACUCAR E BIOENERGIA S.A.,Desconhecido
18248,"2025-10-13 00:00:00",80000.00,15,1,9,PEDRO AFONSO ACUCAR E BIOENERGIA S.A.,Simples
18244,"2025-10-10 00:00:00",18000.00,18,1,6,GGF AGRO LTDA,Simples
18243,"2025-10-07 00:00:00",180000.00,9,0,30,GGF AGRO LTDA,Desconhecido
18242,"2025-09-30 00:00:00",4000.00,6,0,30,VIA S.A.,Desconhecido
18241,"2025-09-26 00:00:00",10000.00,10,0,30,VIA S.A.,Desconhecido
18240,"2025-09-25 00:00:00",15000.00,8,0,30,OI,Desconhecido
16324,"2025-09-15 00:00:00",20000.00,8,0,30,GGF AGRO LTDA,Desconhecido
18235,"2025-09-09 00:00:00",0.00,6,0,30,PREFEITURA DE TERESINA,Desconhecido
18236,"2025-09-09 00:00:00",0.00,14,0,30,PREFEITURA DE TERESINA,Desconhecido
18237,"2025-09-09 00:00:00",0.00,10,0,30,PREFEITURA DE TERESINA,Desconhecido
18238,"2025-09-09 00:00:00",0.00,8,0,30,Fernando Magalhães,Desconhecido
