id;UID;Mes_Ref;Cod_Empresa;UC;score_ia
26687;117595081562020251101;2025-11-01;11;22438025;0
60975;1203722456141420250601;2025-06-01;120;9336354;4
60976;1203722556141520250601;2025-06-01;120;18559573;2
60977;1203722656141620250601;2025-06-01;120;18221092;2
60978;1203722756141720250601;2025-06-01;120;12470538;2
60979;1203722856141920250601;2025-06-01;120;11580127;2
60980;1203722956142020250601;2025-06-01;120;11538023;2
60981;1203723056142120250601;2025-06-01;120;11520086;2
60982;1203723156142220250601;2025-06-01;120;11500662;2
60983;1203723256142420250601;2025-06-01;120;11489170;2
60984;1203723356142520250601;2025-06-01;120;11482397;2
60988;1203723456142920250601;2025-06-01;120;11482362;2
60985;1203723556142620250601;2025-06-01;120;11482354;2
60986;1203723656142720250601;2025-06-01;120;6186181;2
54480;1203723676069420250701;2025-07-01;120;6186181;4
29565;1203723681013520251101;2025-11-01;120;6186181;2
60987;1203723756142820250601;2025-06-01;120;3754987;2
29564;1203723780790620251101;2025-11-01;120;3754987;2
60989;1203723856143020250601;2025-06-01;120;902802;2
60990;1203723956143120250601;2025-06-01;120;902810;2
54478;1203874470052520250701;2025-07-01;120;9912924;2
29563;1203874480789320251101;2025-11-01;120;9912924;2
54479;1205646876069320250701;2025-07-01;120;17337089;2
16755;1205646887823020260101;2026-01-01;120;17337089;2
199052;1325953120231101;2023-11-01;132;1031099831;0
260065;13260152420221201;2022-12-01;132;49104839;0
64367;133825161457820250501;2025-05-01;13;11787856;0
70686;133825161458320250401;2025-04-01;13;11787856;0
76949;133825161458920250301;2025-03-01;13;11787856;0
83219;133825161459020250201;2025-02-01;13;11787856;0
6133;1356139193977820260301;2026-03-01;13;13499165;0
46114;135613975944820250801;2025-08-01;13;13499165;0
58096;135613976041220250601;2025-06-01;13;13499165;0
26696;135613980790320251101;2025-11-01;13;13499165;0
83223;141802121377320250201;2025-02-01;14;4220017678;2
76953;141802121377420250301;2025-03-01;14;4220017678;2
70690;141802121377520250401;2025-04-01;14;4220017678;4
58112;141802156160020250601;2025-06-01;14;4220017678;2
26707;141802181364920251101;2025-11-01;14;4220017678;2
58100;141805621386520250601;2025-06-01;14;10481635;2
58101;141805721386620250601;2025-06-01;14;13854947;2
20350;141805781725420251201;2025-12-01;14;13854947;2
14083;141805787426220260101;2026-01-01;14;13854947;2
58102;143290049855520250601;2025-06-01;14;4003204719;2
33246;143290079319320251001;2025-10-01;14;4003204719;2
58103;143290149855620250601;2025-06-01;14;4403711;2
52059;143290169828820250701;2025-07-01;14;4403711;2
26700;143290179402220251101;2025-11-01;14;4403711;2
14082;143290187368920260101;2026-01-01;14;4403711;2
58104;143626255929920250601;2025-06-01;14;W7008460010;4
26723;143626283829220251101;2025-11-01;14;W7008460010;2
58105;143626355930020250601;2025-06-01;14;4220037793;2
26710;143626381365720251101;2025-11-01;14;4220037793;2
58106;143626455930120250601;2025-06-01;14;00000686378;2
58107;143626555930220250601;2025-06-01;14;39189074;2
46118;143626574368320250801;2025-08-01;14;39189074;2
58108;143626655930320250601;2025-06-01;14;E6029110811;4
26713;143626681726920251101;2025-11-01;14;E6029110811;2
58109;143626755930420250601;2025-06-01;14;4220004027;2
26701;143626781362020251101;2025-11-01;14;4220004027;2
20354;143626787803020251201;2025-12-01;14;4220004027;2
58110;143626855930520250601;2025-06-01;14;4220024130;2
26712;143626881421720251101;2025-11-01;14;4220024130;2
58111;143732056159920250601;2025-06-01;14;612362174;2
58113;143732156160120250601;2025-06-01;14;612362026;2
58114;143732256160220250601;2025-06-01;14;626162883;2
58115;143747456182820250601;2025-06-01;14;612362083;2
832997;143977020240101;2024-01-01;14;625856741;0
832904;143977020240201;2024-02-01;14;625856741;0
832811;143977020240301;2024-03-01;14;625856741;0
832718;143977020240401;2024-04-01;14;625856741;0
832625;143977020240501;2024-05-01;14;625856741;0
832532;143977020240601;2024-06-01;14;625856741;0
832439;143977020240701;2024-07-01;14;625856741;0
832346;143977020240801;2024-08-01;14;625856741;0
832252;143977020240901;2024-09-01;14;625856741;0
832127;143977020241001;2024-10-01;14;625856741;0
832023;143977020241101;2024-11-01;14;625856741;0
831932;143977020241201;2024-12-01;14;625856741;0
831799;143977020250201;2025-02-01;14;625856741;0
831709;143977020250301;2025-03-01;14;625856741;0
831619;143977020250401;2025-04-01;14;625856741;0
831527;143977020250501;2025-05-01;14;625856741;0
831434;143977020250601;2025-06-01;14;625856741;0
831345;143977020250701;2025-07-01;14;625856741;0
831251;143977020250801;2025-08-01;14;625856741;0
831163;143977020250901;2025-09-01;14;625856741;0
831033;143977020251101;2025-11-01;14;625856741;0
830943;143977020251201;2025-12-01;14;625856741;0
830841;143977020260101;2026-01-01;14;625856741;0
830752;143977020260201;2026-02-01;14;625856741;0
830640;143977020260401;2026-04-01;14;625856741;0
833454;1439771020230701;2023-07-01;14;625856741;0
833270;1439771120230901;2023-09-01;14;625856741;0
834098;143977120221201;2022-12-01;14;625856741;0
834188;143977220221101;2022-11-01;14;625856741;0
834006;143977320230101;2023-01-01;14;625856741;0
833914;143977420230201;2023-02-01;14;625856741;0
833822;143977520230301;2023-03-01;14;625856741;0
833729;143977620230401;2023-04-01;14;625856741;0
833636;143977720230501;2023-05-01;14;625856741;0
833543;143977820230601;2023-06-01;14;625856741;0
833363;143977920230801;2023-08-01;14;625856741;0
60994;1442976144475220250601;2025-06-01;144;00000510014;2
60995;1442976344475320250601;2025-06-01;144;633152513;2
60996;1443228947445820250601;2025-06-01;144;69585712;2
60997;1443229847446720250601;2025-06-01;144;00002777536;2
60998;1443271349835520250601;2025-06-01;144;W9005724489;2
67339;1443271449835620250501;2025-05-01;144;W5164937113;4
23181;1443271481394920251201;2025-12-01;144;W5164937113;2
73574;1443279449843620250401;2025-04-01;144;W0006781385;2
60999;1443720756139720250601;2025-06-01;144;W9006292299;2
61000;1443721256140220250601;2025-06-01;144;W9014313354;2
61002;1443721356140420250601;2025-06-01;144;642412668;2
61001;1443721456140320250601;2025-06-01;144;637822327;2
61003;1443721556140520250601;2025-06-01;144;W9012463502;2
61004;1443721756140720250601;2025-06-01;144;631386261;2
61005;1443721856140820250601;2025-06-01;144;641887456;2
61006;1443721956140920250601;2025-06-01;144;631386295;2
61007;1443722056141020250601;2025-06-01;144;631385503;2
61008;1443722156141120250601;2025-06-01;144;631385537;2
61010;1443722256141320250601;2025-06-01;144;631386220;2
61009;1443722356141220250601;2025-06-01;144;66723308;2
48498;1444748074514120250801;2025-08-01;144;00001681834;2
29584;1444748081394120251101;2025-11-01;144;00001681834;2
48499;1445605675930520250801;2025-08-01;144;00001671455;2
29583;1445605681394020251101;2025-11-01;144;00001671455;2
54497;1445642076053820250701;2025-07-01;144;00002864179;2
23180;1445642081394320251201;2025-12-01;144;00002864179;4
10602;1445642089677920260201;2026-02-01;144;00002864179;4
48525;1446669020250801;2025-08-01;144;W9016574317;2
29609;1446669020251101;2025-11-01;144;W9016574317;2
23179;1447530181393820251201;2025-12-01;144;D7086414011;2
29582;1447530281393920251101;2025-11-01;144;00002841937;2
29585;1447530381394420251101;2025-11-01;144;N5210689329;2
29586;1447530481394520251101;2025-11-01;144;00001333857;2
29587;1447530581394620251101;2025-11-01;144;W0012731810;2
29588;1447530681394720251101;2025-11-01;144;00001007707;2
29589;1447530781394820251101;2025-11-01;144;00002810910;2
29590;1447530881395020251101;2025-11-01;144;W9014024085;2
29591;1448691483831720251101;2025-11-01;144;00002755190;2
29592;1448702783844520251101;2025-11-01;144;00002934464;2
61032;1453634755940020250601;2025-06-01;145;75310;0
67366;1453634755940120250501;2025-05-01;145;75310;0
29610;1453634781278120251101;2025-11-01;145;75310;0
61033;1453886670260520250601;2025-06-01;145;9011018;0
42570;1453886676420520250901;2025-09-01;145;9011018;0
29611;1453886681527120251101;2025-11-01;145;9011018;0
23207;1453886687171520251201;2025-12-01;145;9011018;0
54524;1455624675969820250701;2025-07-01;145;7016008570;0
61034;1455639776046520250601;2025-06-01;145;1515012;0
67367;1455639776058620250501;2025-05-01;145;1515012;0
42568;1455778276419520250901;2025-09-01;145;5812356;0
23211;1455778287813020251201;2025-12-01;145;5812356;0
42569;1455778476420120250901;2025-09-01;145;6954227;0
23212;1455778487813320251201;2025-12-01;145;6954227;0
42571;1455780776425720250901;2025-09-01;145;17725364;0
23208;1455780787808520251201;2025-12-01;145;17725364;0
42572;1455781176426320250901;2025-09-01;145;38872133;0
23209;1455781187811220251201;2025-12-01;145;38872133;0
36118;1457029580186620251001;2025-10-01;145;7006501022;0
23206;1457649881725720251201;2025-12-01;145;532276628;0
23210;1459976987811720251201;2025-12-01;145;3010359820;0
26702;147508381363920251101;2025-11-01;14;4220037800;2
26703;147508581364120251101;2025-11-01;14;4220012553;2
26704;147508781364320251101;2025-11-01;14;4220012577;2
26705;147508981364520251101;2025-11-01;14;10005719389;2
26706;147509081364620251101;2025-11-01;14;4220016376;2
26708;147509481365120251101;2025-11-01;14;4220024476;2
26709;147509781365420251101;2025-11-01;14;4220027179;2
26711;147526781382620251101;2025-11-01;14;4220005548;2
26714;147760881945620251101;2025-11-01;14;W0012774977;2
20352;147760887426620251201;2025-12-01;14;W0012774977;2
14086;147760887428020260101;2026-01-01;14;W0012774977;2
26715;147767681952520251101;2025-11-01;14;00002754048;2
26716;147767881952720251101;2025-11-01;14;E5041338872;4
26717;147767981952820251101;2025-11-01;14;00001384055;4
26718;147768081952920251101;2025-11-01;14;W5165292949;2
26719;147768281953120251101;2025-11-01;14;W5106602411;4
26720;147768381953220251101;2025-11-01;14;00001241031;4
26721;147768481953320251101;2025-11-01;14;00001241245;2
26722;147768581953420251101;2025-11-01;14;W5116176917;4
20351;148690983830920251201;2025-12-01;14;W0012646545;2
14085;148690987426820260101;2026-01-01;14;W0012646545;2
26724;148691083830820251101;2025-11-01;14;00003022584;2
26725;148691383831620251101;2025-11-01;14;00002524190;2
14084;148691387426520260101;2026-01-01;14;00002524190;2
20353;148691387426720251201;2025-12-01;14;00002524190;2
61043;1543885770257720250601;2025-06-01;154;917133;2
54535;1543885771298720250701;2025-07-01;154;917133;2
48538;1543885774313020250801;2025-08-01;154;917133;0
61044;1543885870257820250601;2025-06-01;154;16530110;2
54536;1543885871298820250701;2025-07-01;154;16530110;0
48539;1543885874372720250801;2025-08-01;154;16530110;0
61045;1543885970257920250601;2025-06-01;154;17707218;0
54537;1543885971298920250701;2025-07-01;154;17707218;0
48540;1543885974372820250801;2025-08-01;154;17707218;0
61046;1543886070258020250601;2025-06-01;154;901750;0
48537;1544460874080120250801;2025-08-01;154;14674890;2
29621;1544460879672920251101;2025-11-01;154;14674890;2
29622;1546840579673120251101;2025-11-01;154;14017792;0
29623;1546840879673620251101;2025-11-01;154;14339668;0
29624;1546841079675120251101;2025-11-01;154;14339676;0
115227;173507941020241001;2024-10-01;173;3013520385;0
107233;173507941120241101;2024-11-01;173;3013520385;0
184589;17350794120240101;2024-01-01;173;3013520385;0
175511;17350794220240201;2024-02-01;173;3013520385;0
166460;17350794320240301;2024-03-01;173;3013520385;0
157397;17350794420240401;2024-04-01;173;3013520385;0
148631;17350794520240501;2024-05-01;173;3013520385;0
142376;17350794620240601;2024-06-01;173;3013520385;0
135727;17350794720240701;2024-07-01;173;3013520385;0
129505;17350794820240801;2024-08-01;173;3013520385;0
123164;17350794920240901;2024-09-01;173;3013520385;0
115010;173507951020241001;2024-10-01;173;203376604;0
107022;173507951120241101;2024-11-01;173;203376604;0
184368;17350795120240101;2024-01-01;173;203376604;0
98738;173507951220241201;2024-12-01;173;203376604;0
175291;17350795220240201;2024-02-01;173;203376604;0
166240;17350795320240301;2024-03-01;173;203376604;0
157177;17350795420240401;2024-04-01;173;203376604;0
148412;17350795520240501;2024-05-01;173;203376604;0
122947;17350795620240901;2024-09-01;173;203376604;0
142157;17350795720240601;2024-06-01;173;203376604;0
135508;17350795820240701;2024-07-01;173;203376604;0
129289;17350795920240801;2024-08-01;173;203376604;0
115474;173507961020241001;2024-10-01;173;4000844607;0
107477;173507961120241101;2024-11-01;173;4000844607;0
184837;17350796120240101;2024-01-01;173;4000844607;0
175759;17350796220240201;2024-02-01;173;4000844607;0
157645;17350796320240401;2024-04-01;173;4000844607;0
166708;17350796420240301;2024-03-01;173;4000844607;0
148879;17350796520240501;2024-05-01;173;4000844607;0
142624;17350796620240601;2024-06-01;173;4000844607;0
135975;17350796720240701;2024-07-01;173;4000844607;0
129753;17350796820240801;2024-08-01;173;4000844607;0
123412;17350796920240901;2024-09-01;173;4000844607;0
185076;173521611320240101;2024-01-01;173;512901203;0
175998;173521611420240201;2024-02-01;173;512901203;0
166947;173521611520240301;2024-03-01;173;512901203;0
157883;173521611620240401;2024-04-01;173;512901203;0
149116;173521611720240501;2024-05-01;173;512901203;0
142861;173521611820240601;2024-06-01;173;512901203;0
136211;173521611920240701;2024-07-01;173;512901203;0
129962;173521612020240801;2024-08-01;173;512901203;0
123644;173521612120240901;2024-09-01;173;512901203;0
115708;173521612220241001;2024-10-01;173;512901203;0
107684;173521612320241101;2024-11-01;173;512901203;0
98967;173521612420241201;2024-12-01;173;512901203;0
184491;173521621320240101;2024-01-01;173;2579772010;0
175413;173521621420240201;2024-02-01;173;2579772010;0
166362;173521621520240301;2024-03-01;173;2579772010;0
157299;173521621620240401;2024-04-01;173;2579772010;0
148533;173521621720240501;2024-05-01;173;2579772010;0
129408;173521621820240801;2024-08-01;173;2579772010;0
142278;173521621920240601;2024-06-01;173;2579772010;0
135629;173521622020240701;2024-07-01;173;2579772010;0
123066;173521622120240901;2024-09-01;173;2579772010;0
115129;173521622220241001;2024-10-01;173;2579772010;0
107139;173521622320241101;2024-11-01;173;2579772010;0
184804;173521631320240101;2024-01-01;173;34706615;0
175726;173521631420240201;2024-02-01;173;34706615;0
166675;173521631520240301;2024-03-01;173;34706615;0
157612;173521631620240401;2024-04-01;173;34706615;0
