"id_processo","data_criacao","dias_para_deferimento","status_analise","estado","concessionaria","valor_estimado","num_movimentacoes","num_anexos","passou_analise","tipo_irregularidade"
18291,"2026-01-07 14:38:36",30,Desconhecido,"1120052273",Equatorial Goias,600.00,7,1,0,DÚVIDA
18283,"2025-12-17 14:54:50",47,Desconhecido,"9005567",COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA COELBA,40000.00,11,1,1,DÚVIDA
18276,"2025-11-25 20:55:32",35,Desconhecido,"2025895729",COMPANHIA PIRATININGA DE FORCA E LUZ,30000.00,14,4,0,COMPENSAÇÃO
18255,"2025-11-07 12:49:56",-16,Desconhecido,"88908477",ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.,80000.00,16,1,0,FATURAMENTO
18253,"2025-11-06 17:16:04",32,Desconhecido,"828264299",ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.,42000.00,17,2,0,FATURAMENTO
18252,"2025-11-06 13:32:46",102,Desconhecido,"54921406",ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.,40000.00,17,1,1,COMPENSAÇÃO
18248,"2025-10-13 00:00:00",9,Desconhecido,W9007763023 ,ENERGISA TO,80000.00,15,1,0,FATURAMENTO
18244,"2025-10-10 00:00:00",6,Desconhecido,W9012463502,ENERGISA MT,18000.00,18,1,0,FATURAMENTO
18234,"2025-09-03 00:00:00",-191,Desconhecido,"3003293084",CEMIG,307824.41,40,0,0,FATURAMENTO
17667,"2025-07-24 10:47:27",111,Desconhecido,"3012139594",CEMIG,0.00,14,0,0,LEITURA
18187,"2025-03-11 10:27:09",150,Desconhecido,"1014308",BRK MAUÁ,0.00,18,0,0,CONSUMO
18185,"2025-02-28 16:23:43",257,Desconhecido,"2436434",SAAE ESTÂNCIA,0.00,13,0,0,CONSUMO
18182,"2025-02-28 09:07:50",244,Desconhecido,"4016124040",ÁGUAS DO RIO,1000.00,17,0,0,LEITURA
18170,"2025-01-23 09:41:06",46,Desconhecido,"14017792",EQUATORIAL PI,0.00,40,0,0,DÚVIDA
18151,"2025-01-20 14:10:44",112,Desconhecido,"1058789",DMAE PORTO ALEGRE,0.00,55,0,0,CONSUMO
18142,"2025-01-08 00:00:00",15,Desconhecido,"11480076",NEOENERGIA BRASILIA (CEB),1000000.00,43,0,0,IMPOSTOENCARGO
18120,"2024-11-18 00:00:00",25,Desconhecido,"18452310",ELEKTRO SP,0.00,20,0,0,FATURAMENTO
18111,"2024-10-29 16:30:24",211,Desconhecido,"1266171",NEOENERGIA BA (COELBA),6000.00,37,0,0,FATURAMENTO
18109,"2024-09-24 11:19:48",22,Desconhecido,"1000002314",EQUATORIAL PI,2000.00,27,0,0,FATURAMENTO
18088,"2024-08-22 13:57:29",30,Desconhecido,"2819307",ENEL CE,3000.00,30,0,0,LEITURA
18085,"2024-08-20 16:11:46",125,Desconhecido,"160381633",EDP ES,20000.00,32,0,0,LEITURA
18034,"2024-07-26 15:06:52",472,Desconhecido,"1018745154",ÁGUAS DO RIO,249307.00,48,3,0,CONSUMO
18022,"2024-07-18 11:18:22",30,Desconhecido,"3011123939",CEMIG,7000.00,26,0,0,FATURAMENTO
18021,"2024-07-18 11:14:01",30,Desconhecido,"3011123051",CEMIG,4500.00,40,0,0,FATURAMENTO
18016,"2024-07-17 11:09:18",217,Desconhecido,"3007392071",CEMIG,10000.00,53,0,0,COMPENSAÇÃO
16624,"2024-07-17 10:46:30",442,Desconhecido,"3007088492",CEMIG,10000.00,16,0,0,COMPENSAÇÃO
16736,"2024-07-15 11:00:19",452,Desconhecido,"3006119018",CEMIG,12000.00,18,0,0,COMPENSAÇÃO
16901,"2024-07-15 10:36:51",450,Desconhecido,"3006100960",CEMIG,3000.00,19,0,0,COMPENSAÇÃO
17997,"2024-07-10 12:03:41",30,Desconhecido,"3006026807",CEMIG,9000.00,41,0,0,COMPENSAÇÃO
17991,"2024-07-04 14:52:16",30,Desconhecido,"3005890022",CEMIG,10000.00,26,0,0,COMPENSAÇÃO
17986,"2024-07-03 16:42:24",205,Desconhecido,"3005797205",CEMIG,10000.00,27,0,0,COMPENSAÇÃO
18227,"2024-07-03 13:49:23",453,Desconhecido,"3005630923",CEMIG,7000.00,17,0,0,COMPENSAÇÃO
17978,"2024-07-03 13:35:32",30,Desconhecido,"3005553897",CEMIG,10000.00,26,0,0,COMPENSAÇÃO
